current_time,weather,temp,humidity
2025-07-15 04:31:56,Clouds,26.02,75
2025-07-15 05:02:00,Clouds,23.97,73
2025-07-15 05:51:57,Clouds,25.41,67
2025-07-15 06:57:48,Clouds,24.74,72
2025-07-15 07:43:07,Clouds,24.79,67
2025-07-15 07:55:27,Clouds,24.79,67
2025-07-15 09:04:22,Clouds,26.76,74
2025-07-15 09:52:52,Clouds,26.76,69
2025-07-15 10:49:50,Clear,24.76,78
2025-07-15 11:31:59,Clouds,23.76,88
2025-07-15 11:49:08,Clouds,23.76,88
2025-07-15 12:00:18,Clouds,23.76,88
2025-07-15 13:55:25,Clouds,23.76,94
2025-07-15 14:46:31,Clouds,23.76,94
2025-07-15 14:59:46,Clouds,23.76,94
2025-07-15 15:44:28,Clouds,23.76,100
2025-07-15 15:59:22,Clouds,23.76,100
2025-07-15 16:55:26,Clouds,22.76,100
2025-07-15 17:43:00,Clouds,23.76,100
2025-07-15 17:55:09,Clouds,23.76,100
2025-07-15 18:57:18,Clouds,23.76,100
2025-07-15 19:35:02,Rain,23.76,100
2025-07-15 19:49:20,Rain,22.61,92
2025-07-15 20:42:13,Rain,23.76,100
2025-07-15 20:58:10,Clouds,23.76,100
2025-07-15 21:37:25,Mist,22.76,100
2025-07-15 21:50:48,Mist,22.76,100
2025-07-15 22:44:21,Mist,23.76,100
2025-07-15 22:56:16,Mist,23.76,100
2025-07-15 23:36:46,Clouds,22.76,100
2025-07-16 13:51:38,Rain,22.76,100
2025-07-16 14:46:09,Rain,22.76,100
2025-07-16 14:58:39,Mist,22.76,100
2025-07-16 15:46:38,Rain,22.76,100
2025-07-16 15:59:47,Rain,22.76,100
2025-07-16 16:57:13,Rain,22.76,100
2025-07-16 17:48:27,Rain,22.76,100
2025-07-16 18:00:20,Rain,22.76,100
2025-07-16 18:58:08,Rain,22.76,100
2025-07-16 19:31:22,Thunderstorm,22.76,100
2025-07-16 19:45:52,Thunderstorm,22.76,100
2025-07-16 19:57:55,Thunderstorm,22.76,100
2025-07-16 20:46:34,Thunderstorm,22.76,100
2025-07-16 20:58:25,Thunderstorm,22.76,100
2025-07-16 21:39:23,Mist,22.76,100
2025-07-16 21:55:03,Thunderstorm,22.76,100
2025-07-16 22:48:10,Rain,22.76,100
